timestamp,elapsed_s,frame_no,class_name,confidence,should_spray,primary_zone,spray_duration_ms,bbox_x,bbox_y,bbox_w,bbox_h,inference_ms
2026-02-24T16:57:45.909,0.73,66,late_blight,0.6021,False,,0,0,0,0,0,9.8
2026-02-24T16:57:45.919,0.74,67,early_blight,0.7123,True,,0,0,0,0,0,9.5
2026-02-24T16:57:45.929,0.75,68,early_blight,0.9072,True,,0,0,0,0,0,9.6
2026-02-24T16:57:45.940,0.76,69,early_blight,0.645,False,,0,0,0,0,0,9.4
2026-02-24T16:57:45.950,0.78,70,early_blight,0.9591,True,,0,0,0,0,0,9.6
2026-02-24T16:57:45.960,0.79,71,early_blight,0.9747,True,,0,0,0,0,0,9.6
2026-02-24T16:57:45.970,0.8,72,early_blight,0.885,True,,0,0,0,0,0,9.4
2026-02-24T16:57:45.981,0.81,73,early_blight,0.8759,True,,0,0,0,0,0,9.7
2026-02-24T16:57:45.991,0.82,74,early_blight,0.5952,False,,0,0,0,0,0,9.6
2026-02-24T16:57:46.001,0.83,75,early_blight,0.9881,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.012,0.84,76,early_blight,0.9476,True,,0,0,0,0,0,9.6
2026-02-24T16:57:46.022,0.85,77,early_blight,0.893,True,,0,0,0,0,0,9.5
2026-02-24T16:57:46.032,0.86,78,early_blight,0.9998,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.043,0.87,79,early_blight,0.9486,True,,0,0,0,0,0,9.6
2026-02-24T16:57:46.053,0.88,80,early_blight,0.9913,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.063,0.89,81,early_blight,0.9641,True,,0,0,0,0,0,9.9
2026-02-24T16:57:46.074,0.9,82,early_blight,0.9978,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.084,0.91,83,early_blight,0.9985,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.094,0.92,84,early_blight,0.8853,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.104,0.93,85,early_blight,0.8834,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.115,0.94,86,early_blight,0.972,True,,0,0,0,0,0,9.6
2026-02-24T16:57:46.125,0.95,87,early_blight,0.9951,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.135,0.96,88,early_blight,0.9642,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.146,0.97,89,early_blight,0.9974,True,,0,0,0,0,0,9.6
2026-02-24T16:57:46.156,0.98,90,early_blight,0.9934,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.166,0.99,91,early_blight,0.9296,True,,0,0,0,0,0,9.6
2026-02-24T16:57:46.176,1.0,92,early_blight,0.8956,True,,0,0,0,0,0,9.6
2026-02-24T16:57:46.187,1.01,93,early_blight,0.9991,True,,0,0,0,0,0,9.6
2026-02-24T16:57:46.197,1.02,94,early_blight,0.9701,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.207,1.03,95,late_blight,0.5982,False,,0,0,0,0,0,9.6
2026-02-24T16:57:46.218,1.04,96,early_blight,0.9841,True,,0,0,0,0,0,9.8
2026-02-24T16:57:46.228,1.05,97,early_blight,0.5948,False,,0,0,0,0,0,9.9
2026-02-24T16:57:46.239,1.06,98,early_blight,0.7844,True,,0,0,0,0,0,9.8
2026-02-24T16:57:46.249,1.07,99,early_blight,0.5314,False,,0,0,0,0,0,9.7
2026-02-24T16:57:46.260,1.09,100,late_blight,0.5069,False,,0,0,0,0,0,10.0
2026-02-24T16:57:46.271,1.1,101,early_blight,0.6853,False,,0,0,0,0,0,9.8
2026-02-24T16:57:46.281,1.11,102,early_blight,0.9899,True,,0,0,0,0,0,9.9
2026-02-24T16:57:46.292,1.12,103,early_blight,0.9953,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.302,1.13,104,early_blight,0.8145,True,,0,0,0,0,0,9.5
2026-02-24T16:57:46.313,1.14,105,healthy,0.4048,False,,0,0,0,0,0,9.7
2026-02-24T16:57:46.323,1.15,106,early_blight,0.7883,True,,0,0,0,0,0,9.3
2026-02-24T16:57:46.333,1.16,107,early_blight,0.9825,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.344,1.17,108,early_blight,0.9994,True,,0,0,0,0,0,9.8
2026-02-24T16:57:46.354,1.18,109,early_blight,0.9997,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.364,1.19,110,early_blight,0.5739,False,,0,0,0,0,0,9.6
2026-02-24T16:57:46.375,1.2,111,early_blight,0.8059,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.387,1.21,112,early_blight,0.9528,True,,0,0,0,0,0,11.4
2026-02-24T16:57:46.397,1.22,113,early_blight,0.9823,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.408,1.23,114,early_blight,0.7079,True,,0,0,0,0,0,9.9
2026-02-24T16:57:46.418,1.24,115,early_blight,0.9675,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.429,1.25,116,late_blight,0.5365,False,,0,0,0,0,0,9.7
2026-02-24T16:57:46.439,1.26,117,early_blight,0.7235,True,,0,0,0,0,0,9.5
2026-02-24T16:57:46.449,1.27,118,early_blight,0.9946,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.460,1.29,119,early_blight,0.9832,True,,0,0,0,0,0,9.8
2026-02-24T16:57:46.470,1.3,120,early_blight,0.9905,True,,0,0,0,0,0,9.5
2026-02-24T16:57:46.481,1.31,121,early_blight,0.9997,True,,0,0,0,0,0,9.9
2026-02-24T16:57:46.492,1.32,122,healthy,0.7667,False,,0,0,0,0,0,9.7
2026-02-24T16:57:46.504,1.33,123,late_blight,0.6506,False,,0,0,0,0,0,12.0
2026-02-24T16:57:46.520,1.34,124,early_blight,0.9972,True,,0,0,0,0,0,14.8
2026-02-24T16:57:46.534,1.36,125,early_blight,0.9511,True,,0,0,0,0,0,14.0
2026-02-24T16:57:46.551,1.38,126,early_blight,0.6857,False,,0,0,0,0,0,16.1
2026-02-24T16:57:46.566,1.39,127,early_blight,0.9993,True,,0,0,0,0,0,14.6
2026-02-24T16:57:46.577,1.4,128,early_blight,1.0,True,,0,0,0,0,0,9.8
2026-02-24T16:57:46.587,1.41,129,early_blight,0.978,True,,0,0,0,0,0,9.5
2026-02-24T16:57:46.598,1.42,130,early_blight,0.9869,True,,0,0,0,0,0,9.7
2026-02-24T16:57:46.608,1.43,131,early_blight,0.9995,True,,0,0,0,0,0,9.6
2026-02-24T16:57:46.619,1.44,132,early_blight,0.9888,True,,0,0,0,0,0,9.4
2026-02-24T16:57:46.629,1.45,133,early_blight,0.4486,False,,0,0,0,0,0,9.7
2026-02-24T16:57:46.639,1.46,134,early_blight,0.9473,True,,0,0,0,0,0,9.3
